                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
  537 |    0.951706 |     -1.2054 |        7582.653
  538 |    0.951705 |     -1.2054 |        7582.647
  539 |    0.955116 |     -1.3225 |        7609.820
  540 |    0.955136 |     -1.3227 |        7609.986
  541 |    0.955160 |     -1.3229 |        7610.173
  542 |    0.955186 |     -1.3231 |        7610.382
  543 |    0.955204 |     -1.3233 |        7610.523
  544 |    0.955044 |     -1.2324 |        7609.252
  545 |    0.955049 |     -1.2325 |        7609.293
  546 |    0.955036 |     -1.2324 |        7609.187
  547 |    0.955029 |     -1.2323 |        7609.128
  548 |    0.955022 |     -1.2322 |        7609.076
  549 |    0.955136 |     -1.3293 |        7609.980
  550 |    0.956433 |     -1.2437 |        7620.314
